comune,candidato,lista,voti
CHAMPDEPRAZ,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",42
CHAMPORCHER,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",25
CHARVENSOD,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",125
CHATILLON,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",265
COGNE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",79
COURMAYEUR,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",106
DONNAS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",123
DOUES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",33
EMARESE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",35
ETROUBLES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",28
FENIS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",133
FONTAINEMORE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",48
GABY,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",19
GIGNOD,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",78
GRESSAN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",198
GRESSONEY-LA-TRINITE',"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",22
GRESSONEY-SAINT-JEAN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",59
HONE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",51
INTROD,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",46
ISSIME,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",37
ISSOGNE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",97
JOVENCAN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",58
"LA MAGDELEINE","AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",5
"LA SALLE","AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",96
"LA THUILE","AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",65
LILLIANES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",37
MONTJOVET,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",94
MORGEX,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",90
NUS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",160
OLLOMONT,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",14
OYACE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",28
PERLOZ,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",61
POLLEIN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",59
PONTBOSET,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",9
PONTEY,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",57
PONT-SAINT-MARTIN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",196
PRE'-SAINT-DIDIER,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",49
QUART,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",275
RHEMES-NOTRE-DAME,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",5
RHEMES-SAINT-GEORGES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",16
ROISAN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",51
SAINT-CHRISTOPHE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",170
SAINT-DENIS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",24
SAINT-MARCEL,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",72
SAINT-NICOLAS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",22
SAINT-OYEN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",7
SAINT-PIERRE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",157
SAINT-RHEMY-EN-BOSSES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",15
SAINT-VINCENT,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",320
SARRE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",291
TORGNON,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",40
VALGRISENCHE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",24
VALPELLINE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",28
VALSAVARENCHE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",23
VALTOURNENCHE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",153
VERRAYES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",53
VERRES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",178
VILLENEUVE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",96
